Date,Name,Geotransform
20220951801,CMIPC-M6_G16_s20220951801_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951806,CMIPC-M6_G16_s20220951806_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951811,CMIPC-M6_G16_s20220951811_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951816,CMIPC-M6_G16_s20220951816_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951821,CMIPC-M6_G16_s20220951821_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951826,CMIPC-M6_G16_s20220951826_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951831,CMIPC-M6_G16_s20220951831_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951836,CMIPC-M6_G16_s20220951836_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951841,CMIPC-M6_G16_s20220951841_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951846,CMIPC-M6_G16_s20220951846_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951851,CMIPC-M6_G16_s20220951851_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951856,CMIPC-M6_G16_s20220951856_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951901,CMIPC-M6_G16_s20220951901_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951906,CMIPC-M6_G16_s20220951906_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951911,CMIPC-M6_G16_s20220951911_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951916,CMIPC-M6_G16_s20220951916_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951921,CMIPC-M6_G16_s20220951921_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951926,CMIPC-M6_G16_s20220951926_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951931,CMIPC-M6_G16_s20220951931_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951936,CMIPC-M6_G16_s20220951936_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951941,CMIPC-M6_G16_s20220951941_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951946,CMIPC-M6_G16_s20220951946_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951951,CMIPC-M6_G16_s20220951951_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220951956,CMIPC-M6_G16_s20220951956_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220952001,CMIPC-M6_G16_s20220952001_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220952006,CMIPC-M6_G16_s20220952006_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220952011,CMIPC-M6_G16_s20220952011_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220952016,CMIPC-M6_G16_s20220952016_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220952021,CMIPC-M6_G16_s20220952021_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
20220952026,CMIPC-M6_G16_s20220952026_tc_r-3194.png,"(-1691390.6068051052, 2004.0172965320528, 0.0, 2092194.1212499067, 0.0, -2004.0173498573824)"
